Source,Title,Link,Summary,Published,SEO_Score,cleaned,topic_cluster,sentiment_score,lexicon_score,impact_score,impact_level,operational_tag,event_flag,cluster_name
Ada Derana,Deepavali inscribed on UNESCO s Intangible Cultural Heritage list,http://www.adaderana.lk/news.php?nid=115836,"India s Deepavali — the festival of lights — was on Wednesday (December 10, 2025) inscribed on the UNESCO s Representative List of the Intangible Cultural Heritage of Humanity, sparking celebrations to mark the earning of the coveted tag. MORE..","Wed, 10 Dec 2025 15:39:39 +0530",5.17,deepavali inscribed unesco intangible cultural heritage list india deepavali festival lights wednesday december 10 2025 inscribed unesco representative list intangible cultural heritage humanity sparking celebrations mark earning coveted tag,3,0.4939,2.0,2.4939,High Opportunity,general,Emerging Event,"Sri, Lanka, President"
Ada Derana,UAE continues to send aid to assist flood-hit Sri Lanka,http://www.adaderana.lk/news.php?nid=115835,The UAE s eight humanitarian aid aircraft has arrived in Sri Lanka on Tuesday in efforts to support the country following deadly floods and landslides. MORE..,"Wed, 10 Dec 2025 14:58:34 +0530",5.17,uae continues send aid assist flood hit sri lanka uae eight humanitarian aid aircraft arrived sri lanka tuesday efforts support country following deadly floods landslides,4,0.4019,7.5,7.9019,High Opportunity,"weather, transport",Emerging Event,"Sri, Lanka, Cyclone"
Ada Derana,Advisory issued for severe lightning,http://www.adaderana.lk/news.php?nid=115834,An Amber  advisory has been issued by the Department of Meteorology for severe lightning in the Western and Sabaragamuwa provinces and in Galle and Matara Districts. MORE..,"Wed, 10 Dec 2025 14:04:42 +0530",5.17,advisory issued severe lightning amber advisory issued department meteorology severe lightning western sabaragamuwa provinces galle matara districts,2,-0.6369,-6.0,-6.6369,High Risk,sentiment,Normal,"Landslide, Heavy, Issued"
Ada Derana,"Significant flooding reported after heavy rainfall in Jeddah, Saudi Arabia",http://www.adaderana.lk/news.php?nid=115833,"Jeddah, Saudi Arabia has experienced heavy rainfall that has led to significant flooding and traffic congestion across the city. MORE..","Wed, 10 Dec 2025 13:23:20 +0530",5.17,significant flooding reported heavy rainfall jeddah saudi arabia jeddah saudi arabia experienced heavy rainfall led significant flooding traffic congestion across city,2,0.3818,-1.5,-1.1182,Risk,"weather, transport",Normal,"Landslide, Heavy, Issued"
Ada Derana,Ex-Central Bank Governor Ajith Nivard Cabraal and three others acquitted in Greek Bond case,http://www.adaderana.lk/news.php?nid=115832,Former Central Bank Governor Ajith Nivard Cabraal has been released from the case pertaining to the 2012 purchase of Greek Bonds. MORE..,"Wed, 10 Dec 2025 13:01:23 +0530",5.17,ex central bank governor ajith nivard cabraal three others acquitted greek bond case former central bank governor ajith nivard cabraal released case pertaining 2012 purchase greek bonds,0,0.25,0.0,0.25,Neutral,economic,Normal,"Sri, Lanka, Bank"
Ada Derana,Case against Yoshitha and grandmother adjourned pending Daisy Forrest s medical report,http://www.adaderana.lk/news.php?nid=115831,"The Attorney General informed the Colombo High Court today (10) that Daisy Forrest, the grandmother of Yoshitha Rajapaksa and a defendant in a case filed under the Prevention of Money Laundering Act, is scheduled to undergo a psychiatric medical report tomorrow by the Colombo Judicial Medical Officer. MORE..","Wed, 10 Dec 2025 12:56:03 +0530",5.17,case yoshitha grandmother adjourned pending daisy forrest medical report attorney general informed colombo high court today 10 daisy forrest grandmother yoshitha rajapaksa defendant case filed prevention money laundering act scheduled undergo psychiatric medical report tomorrow colombo judicial medical officer,3,0.0,0.0,0.0,Neutral,"transport, health, security",Emerging Event,"Sri, Lanka, President"
Ada Derana,Homeowners in landslide-prone areas provided with reports on risk level- NBRO,http://www.adaderana.lk/news.php?nid=115830,The National Building Research Organisation (NBRO) has extended landslide warnings issued to several areas based on current ground conditions and weather forecasts. MORE..,"Wed, 10 Dec 2025 12:30:52 +0530",5.17,homeowners landslide prone areas provided reports risk level nbro national building research organisation nbro extended landslide warnings issued several areas based current ground conditions weather forecasts,2,-0.5106,-9.0,-9.5106,High Risk,"weather, transport, sentiment",Normal,"Landslide, Heavy, Issued"
Ada Derana,Heavy vehicles barred from using road over Kotmale Dam- Mahaweli Authority,http://www.adaderana.lk/news.php?nid=115829,"Heavy vehicles have been barred from using the road over the Kotmale Dam, the Mahaweli Development Authority (MDA) has announced. MORE..","Wed, 10 Dec 2025 12:00:25 +0530",5.17,heavy vehicles barred using road kotmale dam mahaweli authority heavy vehicles barred using road kotmale dam mahaweli development authority mda announced,2,0.1531,2.0,2.1531000000000002,High Opportunity,"weather, transport, sentiment",Normal,"Landslide, Heavy, Issued"
Ada Derana,Kolonna Pradeshiya Sabha s budget defeated for the second time,http://www.adaderana.lk/news.php?nid=115828,"The annual budget of the Kolonna Pradeshiya Sabha, which is controlled by the National People s Power (NPP), has been defeated for the second time. MORE..","Wed, 10 Dec 2025 11:28:10 +0530",5.17,kolonna pradeshiya sabha budget defeated second time annual budget kolonna pradeshiya sabha controlled national people power npp defeated second time,0,-0.7351,0.0,-0.7351,Risk,"energy, economic, sentiment",Normal,"Sri, Lanka, Bank"
Ada Derana,Family dog assists in locating bodies of seven victims in Ambokka landslide,http://www.adaderana.lk/news.php?nid=115827,"Highlands surrounding the Ambokka village within the Pallepola Divisional Secretariat area in Matale, have reportedly become increasingly unstable following recent heavy rains. MORE..","Wed, 10 Dec 2025 11:26:49 +0530",5.17,family dog assists locating bodies seven victims ambokka landslide highlands surrounding ambokka village within pallepola divisional secretariat area matale reportedly become increasingly unstable following recent heavy rains,2,-0.5859,-4.5,-5.0859,High Risk,"weather, transport",Normal,"Landslide, Heavy, Issued"
